,,Race,Class,Name,Sub-class,,ATK,DEF,HP,Speed,CR,CD,CritRes,CritDEF,Ddg,Acc,Pen,RecR,LsR,CCRes,PhRes,MRes,Active Skill,Passive skill 1,Passive skill 2,Passive skill 3,Awaken Skill,Engraving,Exclusive equipment,Added stats from Exclusive Equipment 
,29,Undead,Str,Zenon,Supporter,,379 009,156 797,1 682 004,86,10%,50%,0%,0%,10%,0%,0%,0%,0%,0%,0%,15%,"Chain Hook: Targets all enemies in the front row, dealing ATK 160% damage and applying a debuff that reduces healing received by 80% for 2 turns.","Soul Scar: The closer to the enemy, the more ATK increases, up to a maximum of 25%.","Restraining Chain: Starting from round 2 and every third round thereafter, the closest enemy in the 2nd to 3rd row has Restraint applied for 1 turn.",Wailing Soul: Damage taken of self and adjacent allies behind reduces by 20%.,"Absorb Soul: Upon defeat, all enemies get a debuff that reduces healing received by 90% for 2 turns. Can trigger once per battle.","On Active Skill, removes 1 buff from the enemy. When removing a buff, has a 50% chance of applying Restraint for 1 turn to the target.","Sturdy Chains: When Zenon uses an active skill, the ally with the highest ATK gains +25% ATK for 2 turns. (Once per round) If the active skill removes two or more enemy buffs at once, he will use the active skill again. (Once per round)",
,30,Undead,Agi,Amanda,Dealer,,449 509,121 905,1 392 365,85,10%,50%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,"Death's Scythe: Targets the enemy with the highest ATK, dealing ATK 185% damage and applying a debuff that reduces ATK by 40% for 2 turns.","Painful Blow: On normal attacks, targets the closest enemy, dealing ATK 140% and removing 1 buff.","Sacrificed Soul: Upon death, reduces the Energy of all enemies by 50. Can trigger during continuous attacks, once per battle.","Soul Collector: At the start of battle, a debuff that reduces ATK by 20% for 2 turns is applied to all enemies.","Necromancer: At the start of battle and every third round thereafter, the 2 enemies with the highest ATK have their Energy reduced by 30 and have all buffs removed.","Upon defeating an enemy, heals by 20% of max HP, and ATK increases by 20% of the ATK of the defeated enemy.",,
,31,Undead,Int,Void,Healer,,410 458,127 886,1 381 297,94,10%,50%,0%,0%,10%,0%,0%,0%,0%,100%,0%,0%,"Chain of Blood: Targets the closest enemy, dealing ATK 190% damage and healing all allies by 70% of the damage dealt.","Bloodsucking Talisman: At the start of battle, the ally with the highest max HP gets a buff that increases their Lifesteal Rate by 140% for 1 turn. From round 2 onwards, at the start of each round, the ally with the lowest HP% gets a buff that increases their Lifesteal Rate by 80% for 2 turns.","Game of Death: At the start of each round, 2 allies under CC are released.","Mania: At the start of each round, the Speed of the enemy with the highest ATK is reduced by 20 for 1 turn.","Death Magic: Upon landing a killing blow, prevents resurrection from that target. Upon the death of an ally, the ally with the lowest HP% and self get a buff that reduces damage taken by 25% for 2 turns.","Upon the death of an ally, heals by 20% of max HP, and Lifesteal Rate of all remaining allies increases by 32% for 1 turn.","Thanato-nomicon: Void gains 50 energy when performing a normal attack on a Strength-type target. Additionally, penetration increases by 70% when attacking Strength-type heroes and removes all shields including immunity shields.",
,32,Undead,Str,Harfa,Tanker,,382 217,153 533,1 748 500,73,10%,50%,0%,0%,10%,0%,0%,0%,0%,80%,0%,40%,"Destructive Charm: Targets all enemies in the front row, dealing ATK 160% damage and having a 70% chance to apply Silence for 1 turn.","Vicious Cut: On normal attacks, targets the closest enemy and deals ATK 100% damage, reducing their Energy by 40.","PS2: Upon receiving a magical hit, gains an additional 40 Energy.","PS3: Upon death, all allies are healed by 15% of their max HP and they get a buff that reduces damage taken by 22% for 2 turns. Can trigger even during continuous attacks, once per battle.","Kind of the Dead: Upon death, resurrects 2 rounds later at the start of the round with 70% HP and 100 Energy. Can trigger once per battle.","Upon resurrection, ATK increases by 25% and DEF by 32%, up to a maximum of 75% ATK and 96% DEF.",,
,33,Elf,Str,Chiron,Tanker,,357 130,160 464,1 798 754,83,10%,50%,0%,0%,10%,0%,0%,0%,0%,0%,15%,0%,Vine Seed: Deals 190% ATK damage to 1 enemy and has a 80% chance to Entangle the target for 2 turns. (Entangled has a 50% chance to ignore CC removal effects.),Absorption Seed: Absorbs 10% of the target's max HP on normal attacks. (Cannot exceed 15% of Chiron's max HP and is unaffected by healing-related effects.),Forest's Blessing: Physical Resistance +15%. Chiron becomes immune to buffs and debuffs until round 3.,"Sentinel: Recovers 30% HP and survives when receiving fatal damage, and inflicts 30% ATK Reduction on the attacker for 2 turns. (Once per battle)","Thornvine Armor: Chiron applies a Seed debuff to the target when he is hit by a critical hit from an Active Skill or normal attack (up to 4 times per round). At the start of each round, removes all Seed debuffs from affected enemies, with a 100% chance to Entangle them for 1 turn. Enemies with the Seed debuff have their CC Resistance reduced by 15%.","When using an Active Skill, absorbs 15% of the max HP of all Entangled enemies, including the target. (Cannot exceed 20% of Chiron's max HP and is unaffected by healing-related effects.)",,
,34,Elf,Int,Serena,Dealer,,447 083,123 526,1 428 152,74,10%,50%,0%,0%,10%,0%,15%,0%,0%,0%,0%,0%,Spiral Blow: Deal 220% ATK damage to the enemy with the highest Crit Rate and inflict the Fog debuff for 2 turns. Enemies affected by Fog debuff have their ATK reduced by 20% and Crit Rate reduced by 10% (Fog debuff effects do not stack).,Ocean Hunt: Normal Attack damage is increased by 20%. Prioritizes attacking enemies affected by the Fog debuff.,"Song of the Tides: Until round 3, when Serena uses a Normal Attack or Active Skill, she grants a shield equal to 50% of the damage dealt to the ally with the lowest HP for 1 turn.","Siren's gaze: When Serena uses an Active Skill, she has a 100% chance to remove 1 buff from the target.","Wave Strike: When Serena attacks an enemy affected by the Fog debuff, the following effect activates. Attacks permanently reduces the target's Crit Damage by 15%. This effect does not apply to boss-type enemies. (Up to 2 times per target). When using an Active Skill, deals additional damage equal to 5% of the target's Max HP per Fog debuff on the target. (Additional damage capped at 25%).","When Serena attacks with an Active Skill, her ATK increases by 10% per Fog debuff on the target. (ATK increases up to 50%). Crit Rate of enemies affected by Fog is further reduced by 30%).",,
,35,Elf,Agi,Oneiric,Dealer,,434 606,120 284,1 385 724,80,10%,50%,0%,0%,10%,0%,0%,0%,0%,0%,0%,15%,"Spirit's Roar: Targets all enemies in the furthest row, dealing ATK 150% damage and reducing their Energy by 40.","Orb of Darkness: On normal attacks, targets the closest enemy in the furthest row, dealing ATK 120% damage and removing 1 buff.","Scent of Death: ATK increases by 25% against enemies with less than 50% HP, and heals by 25% of damage dealt to them.",Satiation: ATK increases by 4% for each buff he removes.,"Spirit's Feast: At the start of every round, targets all enemies with less than 50% HP, dealing ATK 120% damage and removing 1 buff.",ATK increases by 20% against Intelligence-type enemies.,"Key of Liberation: Oneiric has a 100% chance to remove 1 buff from a target hit by his active skill. (Once per round, excluding bosses) When an enemy buff is removed by this effect, Oneiric gains 50 Energy and triggers the Satiation skill effect. (Once per round)",
,36,Elf,Int,Elara,Supporter,,391 329,145 360,1 529 421,75,10%,50%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,"Sun Emblem: Targets the enemy with the highest ATK and all adjacent enemies, dealing ATK 130% damage and applying a Dazzling debuff for 2 turns. When under Dazzling, Accuracy is reduced by 10% and attacks are guaranteed to be dodged by the target if own Accuracy is lower than the target's Dodge Rate.","Sphere of Light: On normal attacks, targets 1 random enemy, dealing ATK 130% damage and applying a Dazzling debuff for 1 turn.","Torrent: On normal attacks, ATK is increased by 5%, up to a maximum of 25%.","Sun Priestess: When attacking while below 50% HP, heals by 70% of the damage dealt.","Judge: When applying Dazzling to an enemy already affected by it, the target's Energy is reduced by 65 and they get Shock applied for 2 turns.","For the first 3 rounds, Elara and adjacent allies cannot take more than 35% of their max HP from a single hit.","Blazing Light: All adjacent allies' Dodge Rate increases by 15%. Until round 5, Normal Attacks have a 50% chance to attack one additional random enemy.",
,37,Elf,Int,CoCo,Supporter,,440 152,125 471,1 419 297,84,10%,50%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,"Spirit Explosion: Targets the closest enemy and all adjacent enemies, dealing ATK 140% damage and removing 1 buff from each target.","Fairy's Aid: On normal attacks, targets the closest enemy, dealing ATK 130% damage. When attacking enemies with higher DEF than her, ATK increases by 16%.","Grace of Protection: When the HP of an ally on the same row as CoCo, including CoCo, falls below 60%, they get a buff that prevents them from taking more than 20% of their max HP from a single hit for 2 turns.","Power of Life: When HP drops below 50%, gets a HoT debuff, healing by ATK 80% for 2 turns.","Magic Ward: Upon the death of an ally, the enemy with the highest Energy has 100 Energy reduced and gets a Silence debuff for 1 turn.","On Active Skill from any enemy, CoCo has a 50% chance to gain 30 Energy.","Elf Fairy's Crystal Orb: Increases the number of buffs removed when hitting with an active skill by 1. When attacking enemies in the first row with an active skill, there is a 100% chance to apply a Buff Block debuff for 1 turn, preventing them from receiving any buff effects. Enemies affected by Buff Block also lose all shields.",ATK +15%
,38,Elf,Str,Babu,Tanker,,368 198,160 811,1 926 203,57,10%,50%,0%,35%,10%,0%,0%,0%,0%,0%,0%,0%,"Violent Crash: Targets the closest enemy and all adjacent enemies, dealing ATK 130% damage and healing by 100% of the damage dealt.","Ground Slam: On normal attacks, targets the closest enemy, dealing ATK 150% damage and increasing own DEF and Crit DEF by 8%, up to 40% each.","Golem's Core: When self or an ally receives a critical hit, they get a shield equal to 16% of Babu's HP for 2 turns. Can trigger up to 5 times per battle.","Emblem of Protection: On normal attacks, heals by 115% of the damage dealt.","Cruel Punishment: Upon receiving a critical hit, applies Stun to the attacker for 1 turn and gains an additional 50 Energy. Can trigger up to 5 times per battle.","Upon receiving a critical hit, Crit Rate of 1 random ally increases by 22% for 1 turn. ATK against Agility-type enemies increases by 18%.","Ancient Rune Tablet: Babu's Crit Resistance is reduced by 100%, but he ignores damage proportional to Max HP and increases Crit Defense by 50%. When Babu is hit by a critical hit from a direct attack, there is a 50% chance to recover 10% HP and increase the Energy of the 2 allied heroes with the highest ATK by 20.",
,39,Elf,Agi,Sander,Dealer,,446 390,126 768,1 425 938,89,10%,50%,0%,0%,10%,0%,45%,0%,0%,0%,0%,0%,"Gale Surge: Targets the closest enemy, dealing ATK 235% damage and reducing their Speed by 14 for 2 turns, while increasing the Speed of adjacent allies by 14 for 2 turns.","Forest Defense Squad: On normal attacks, targets the closest enemy, dealing ATK 135% damage. At the end of each round, removes 1 debuff from self and adjacent allies.","Protective Color: Upon taking a lethal blow, survives with 1 HP, becomes transparent for 2 turns and gains 100 Energy. When transparent, cannot be targeted, and cannot die from direct hits for the first round after turning. Can trigger once per battle.","Fearless Resolve: Upon removing a debuff, gain 20 Energy for each debuff removed ally. When using an active skill, conumes all Energy to deal greater damage.",Disarm: Deal additional damage equal to 80% of the ignored amount through Penetration.,"Increase ATK against Strength-type enemies by 20%. If you are transparent, it will increase by an additional 12%.","Tempest: Sander gains 50 Energy whenever an ally dies. (This effect also applies while in Invisible state) When using an Active Skill, absorbs 45% of the target's Energy (once per round).",
,40,Elf,Agi,Tania,Dealer,,443 617,124 499,1 539 201,62,30%,50%,0%,0%,10%,30%,20%,0%,0%,0%,0%,0%,"Thorned Arrow: Targets all enemies in the closest row, dealing ATK 180% damage.","Guard Shot: On normal attacks, targets the closest enemy, dealing ATK 135% damage and applying a debuff that increases their chance of being critically hit by 20% for 2 turns.","Ranged Specialization: The further to the enemy, the more ATK increases, up to a maximum of 21%.","Nature Protection: At the start of every second round, gains a buff that increases Crit Rate by 30% for 2 turns.","Full Power: On any attack, if it lands a critical hit, Crit Damage increases by 20%, up to a maximum of 60%. Resets if not critical hits occur.","On any attack, if it lands a critical hit, heals by 20% of the damage dealt, converting 100% of the excess healing into a shield that lasts for 1 turn.",,
,41,Elf,Int,Galan,Supporter,,413 700,139 088,1 512 546,67,10%,50%,0%,10%,10%,0%,0%,0%,0%,0%,0%,10%,"Desert Tornado: Targets the closest enemy in the furthest row and all adjacent enemies, dealing ATK 110% damage and having a 55% chance to apply Sandstorm.","Shackling Wind: On normal attacks, targets the nearest enemy in the furthest row, dealing ATK 120% damage.","Hidden Favor: At the start of every second round, the closest enemy in the furthest row has 25 Energy reduced.","Retience: For each enemy under Sandstorm, ATK increases by 12%.","Guardian of Nature: Chance of applying Sandstorm increases by 10%, and ATK of Active Skill increases by 20%.","ATK increases by 25% against enemies under Sandstorm. On normal attacks, if the enemy is under Sandstorm, has a 60% chance to increase the duration by 1 turn.",,
,42,Elf,Int,Aolmond,Healer,,402 352,149 461,1 355 840,61,10%,50%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,"Lunar Owl: Heals self and adjacent allies by ATK 75%, applying a HoT buff that heals by ATK 60% for 3 turns.","Spirit Release: At the start of battle, gains 100 Energy.","Warm Heart: At the end of odd-numbered rounds, removes 2 debuffs from self and adjacent allies and applies a buff that increases healing received by 20% for 1 turn.","Inspiring Touch: At the start of every second round, applies a HoT buff to the ally with the lowest HP%, including self, healing them by ATK 40% for 2 turns.","Whenever an ally uses an Active Skill, Aolmond's healing amount increases by 4.5% (Max 15 stacks)","When adjacent to 3 or more allies, Physical Resistance increases by 20% and damage of normal attacks by 50%.","Forest Moon Owl: When using Active Skill, if the target has continuous healing, grants a shield equal to 20% of own max HP for 2 turns. (Once per round)",HP +15%
,43,Elf,Int,LuLu,Supporter,,409 161,170 983,1 313 524,75,10%,50%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,"Victory Performance: Increases the Energy of all allies, including self, by 50, and applies a buff that increases their ATK by 20% for 2 turns.","Magic Arrow: On normal attacks, targets all enemies in the closest row, dealing ATK 103% damage and healing the ally with the lowest HP% by 50% of the damage dealt.","Inner Range: Upon the death of an ally, the Energy of all remaining allies increases by 40. Can trigger up to 5 times per battle.","Soothing Light: At the start of every second round, applies a shield to the ally with the highest ATK equal to 160% of LuLu's ATK for 3 turns.","Harp Player: Upon death, the Energy of all allies increases by 60 and they get a buff that increases their ATK by 15% for 2 turns. Can trigger once per battle.","Upon being hit, has a 50% chance of reducing the Speed of the enemy attacker by 5 and of applying a debuff that reduces ATK by 20% for 1 turn.",,
,44,Elf,Int,Fiona,Healer,,406 891,135 857,1 383 879,87,10%,50%,0%,0%,10%,20%,10%,0%,0%,0%,0%,0%,"Peaceful Pollen: Heals the ally with the lowest HP% by ATK 250%, applying a Hypnotic Scent buff for 2 turns or until dispelled. When an enemy hits an ally with Hypnotic Scent, they have an 80% chance to be put into Sleep for 2 turns.","Waves of Spring: On normal attacks, heals the ally with the lowest HP% by 80% of the damage dealt.",Flower's Beauty: The active skill heals all additional allies adjacent to the target. The additional healing amoutn corresponds to 28% of the original healing amount.,"Cultivate: Until round 5, at the start of each round, apply a buff to the allies with HP below 40% that increases Healing Recieved by 20% for 1 turn(s).","Flower Fairy Queen: The chance of Hypnotic Scent putting the enemy to Sleep increases to 90%. At the start of every third round, a Hypnotic Scent buff is applied to 1 random ally in the front row for 2 turns. Upon the death of an ally, gains 40 Energy.","Increase the duration of Hypnotic Scent buff on Active Skill by 1 turn. When allies with Hypnotic Scent buff are attacked, Fiona has 50% chance of receiving 30 Energy.","Dream Bloom: Reduces damage taken by allies with the Hypnotic Scent buff by 20%. (Does not stack) When an ally with the Hypnotic Scent buff dies, there is a 70% chance to inflict Sleep on all enemies for 1 turn. (Once per battle) When an allied hero other than self drops to 30% HP or below, heals that ally by 200% of ATK and grants the Hypnotic Scent buff for 2 turns. (Once per battle)",
,45,Elf,Str,Abala,Tanker,,370 780,159 771,1 769 250,69,10%,50%,0%,0%,10%,0%,10%,0%,0%,0%,10%,0%,"Giant Strike: Targets the enemy with the highest ATK, dealing ATK 190% damage and applying Taunt for 2 turns.","World Tree's Blessing: At the start of every second round, applies a shield to the ally with the lowest HP% equal to 130% of Abala's ATK for 2 turns.","Constricting Roots: Reduces damage taken from enemies under Taunt by 55%. At the start of battle, gains 50 Energy.","Thick Skin: At the start of each round, increases DEF by 8%, up to a maximum of 40%.","Ancient Mystery: On any attack, heals by 40% of the damage dealt. Increases by 5% every round, up to a maximum of 75%.","Upon the death of an ally, ATK increases by 14%. Has a 50% chance to apply Taunt to the enemy that defeated the ally for 1 turn.","Abala's Secret Apple: When using Active Skill, removes 2 buffs from the target. Enemies taunted by Abala have their Crit Rate reduced by 50%.",
,46,Horde,Int,Nevir,Dealer,,463 026,119 960,1 411 549,87,10%,50%,0%,0%,10%,30%,0%,0%,0%,0%,0%,0%,Yin-Yang Art: Tiger: Deals 175% ATK damage to 3 nearby enemies with a 100% chance to inflict [Ink] for 2 turns. [Ink] removes shields. (Excludes Damage Immunity and Nullification Shield),"Ink Drawing: Attacks the enemy with the highest Energy, dealing 130% ATK damage and absorbing 30 Energy.","Tri-Ink Technique: Accuracy +30%. For each [Ink] debuff on an enemy hero, Nevir reduces their Magic Resistance by 15%. (Up to 30%, excludes bosses)",Ink and Inkstone: Gains 10 Energy when an allied hero uses an Active Skill. Gains an additional 10 Energy when a Horde hero uses an Active Skill.,"Battlefield Artist: If Nevir's Energy is 120 or lower, Energy gain rate increases by 50%. (Does not apply to Energy gained from attacking or being hit.) If Energy is full after using an Active Skill, has a 100% chance to immediately reuse the Active Skill.","Gains +10% Crit DMG each time an Active Skill is used. (Once per round, up to 50%) Gains 50 Energy when an enemy or ally dies. (Twice per battle)",,
,47,Horde,Agi,Bella,Dealer,,432 873,116 718,1 346 986,81,10%,50%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,"Upward Slash: Targets the closest enemy, dealing ATK 230% damage and removing 1 debuff. If the target is a Tank with no buffs, applies Stun for 1 turn.","Sweeping Slash: On normal attacks, targets the closest enemy, dealing ATK 140% ATK damage.","Encouraging Whisper: For the first 5 rounds, Bella and other Horde heroes adjacent in front cannot take damage exceeding 51% of their max HP from a single hit.","Opening Strike: On an ally's normal attack, if Bella has no debuffs, performs a joint attack, dealing ATK 100% damage and removing 1 buff. Can trigger once per round.","Hone Blade: For the first 2 rounds, and every time Bella removes a buff, gains Sharpness buff for 2 turns. Sharpness increases ATK by 20% and Penetration by 60%, and does not stack.","On any attack, reduces the target's max HP by 30% of the damage dealt, or by 60% if targeting a Tank, up to a maximum of 50% of their max HP. Persists after resurrection and does not affect Boss-type enemies.","Bella's Secret Art: Crit Rate increases by 30% and Crit Damage by 30% against Tank heroes. Additionally, when attacking a Tank hero, permanently increases the target's damage taken by 15%. (Up to 2 times per target) This increased damage taken effect does not apply to boss-type enemies.",
,48,Horde,Str,Lupico,Supporter,,413 052,131 005,1 406 015,78,10%,50%,0%,0%,10%,0%,0%,0%,0%,0%,0%,15%,"Flaming Cannon: Targets the closest enemy Support and all adjacent enemies, dealing ATK 140% damage and inflicting Burn, dealing ATK 60% DoT for 3 turns. If there is no enemy Support, targets the closest enemy.","Steel Teeth: On normal attacks, targets the closest enemy Support, dealing ATK 100% damage and inflicting burn, dealing ATK 60% DoT for 2 turns. If there is no enemy Support, targets the closest enemy.","Penguin's Pride: When HP drops below 60%, Lupico and 2 allies with the lowest HP% are healed by 30% of Lupico's max HP and they get all their debuffs removed.","Flame Energy: At the start of battle, Lupico gains 50 Energy. At the end of each round, enemies inflicted by Burn have their Energy reduced by 25.","Ruler of the Sea: While Lupico is alive, all allies, including self, deal 40% increased damage from Burn and Bleed.","On Active Skill, increases the Energy of the 3 allies with the highest ATK, including self, by 20 per enemy hit.","SH-4RK Cannon: Reduces damage taken by yourself and allies from enemy Elf Supporter heroes by 30%. Until round 3, Lupico reduces the Energy of a random enemy Supporter hit by his Active Skill by 50.",
,49,Horde,Str,PaoPao,Tanker,,371 518,194 949,1 956 874,99,10%,50%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,"Drinks Only Dew: Heals by 30% of max HP and gains Reflective Qi buff for 2 turns. Reflective Qi buff reduces the user's damage taken by 20% and instantly reflects 35% of damage received from a direct hit back to the attacker, including shared damaged, even if opponent is untargetable.","Threat Apprehension: On normal attacks, targets the enemy with the highest Energy, dealing ATK 140% damage. If the target has 90 or more Energy, reduces it by 25.","Damage Sharing: When the ally with the lowest HP%, excluding self, receives damage from a direct hit, Paopao will split and share 50% of that damage.","When Paopao heals himself, 100% of the amount healed that exceeds his max HP will be converted to a protective shield that lasts for 2 turn(s).","Stored Vitality: For the first 5 rounds, at the start of each, if HP is below 60%, heals by 25% of max HP.","Upon taking a lethal blow, survives with 1 HP, gains a shield equal to 60% of max HP for 2 turns, removes all debuffs on him, and gains an additional 100 Energy. Can trigger once per battle.",,
,50,Horde,Agi,Jack,Dealer,,458 174,122 878,1 383 879,94,10%,50%,0%,30%,40%,0%,0%,0%,0%,0%,0%,0%,"Disease's Stinger: Targets the closest enemy in the furthest row, dealing ATK 180% damage and inflicting 2 stacks of Tetanus, dealing ATK 55% DoT for 3 turns and reducing the target's ATK by 13% and their Crit Rate by 17%.","Rusted Sword: On normal attacks, targets the closest enemy in the furthest row, dealing ATK 145% damage.","Forbidden Drug: Dodge Rate increases by 0.6% for every 1% of his HP lost. At the end of each round, heals by 75% of damage dealt to enemies through Tetanus.","Madness Hyena: On any attack, removes 1 buff from the target. Upon removing a buff, ATK increases by 12% for 2 turns.","Infection: Upon the death of an enemy inflicted with Tetanus, the debuff spreads to adjacent enemies, dealing ATK 80% DoT for 3 turns.","Upon the attack of an ally, Jack has a 30% chance to do a joint attack, dealing ATK 145% damage.","Jack's Surgical Tools: Inflicts 1 stack of Tetanus on the enemy when performing normal attacks or joint attacks. Jack's active skill always hits, and he always dodges attacks from enemies afflicted with Tetanus.",
,51,Horde,Int,Dolucos,Dealer,,447 430,125 147,1 429 627,63,10%,50%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,"Chain Lightning: Targets the closest enemy and adjacent enemies in a chain attack, dealing ATK 155% damage. Can chain up to 3 times, with each chain decreasing the ATK of the skill by 20%.","Lightning: On normal attacks, targets the closest enemy, dealing ATK 130% damage and gaining an additional 30 Energy.","Subtle Method: At the end of every second round, cleanses 2 debuffs from self and allies in the same row. Upon removing a debuff, gains 30 Energy.","Awe: At the start of every fifth round, heals 50% of max HP.","Grand Magician: If all allies except Dolucos are dead, becomes gigantified for 2 turns. When gigantified, ATK increases by 80% and DEF by 110%. Can trigger once per battle.","When chaining 3 or more enemies with Active Skill, reduces the Energy of all targets by 20, and has a 30% chance of applying Silence for 1 turns.","Heavenly Thunder: At the start of battle, Dolucos gains 20 Energy for each allied Horde hero and increases ATK by 10% per hero (up to 30%). Dolucos's skills are enhanced. Chain Lightning: Now chains to random enemies. Subtle Method: Now triggers at the end of each round. Awe: Now triggers at the start of every 4 rounds.",
,52,Horde,Int,Aruru,Healer,,419 536,140 710,1 397 899,55,10%,50%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,"Primitive Curse: Targets the closest enemy, dealing ATK 215% damage and healing the ally with the lowest HP% by 138% of the damage dealt. This attack is undodgeable.",Chaser: Accuracy of self and adjacent allies increases by 40%.,"Foresight: Upon the death of an enemy, obtains a buff that increases ATK by 20% for 2 turns. Can trigger once per round.","Shamanism: From rounds 2 to 5, at the start of each round, heals the ally with the lowest HP% by ATK 110%.","High Priest: Upon death, targets all enemies, dealing ATK 140% damage and healing all allies by 34% of the damage dealt. Can trigger once per battle.","On any attack, ignores and removes any shield on the target. Upon shield removal, heals adjacent allies by 70% of the damage dealt.",,
,53,Horde,Str,Kaion,Dealer,,411 732,138 440,1 600 076,60,10%,50%,0%,0%,10%,0%,0%,0%,0%,0%,15%,0%,"Suffocating Blow: Targets the closest enemy and all enemies in a straight path behind, dealing ATK 180% damage and healing by 50% of the damage dealt.","Devouring Blade: On normal attacks, targets the closest enemy, dealing ATK 145% damage.","Wounded Beast: Starting from round 2, at the start of each round, ATK increases by 6%, up to a maximum of 60%.","Wild Instinct: The closer to the enemy, the more ATK increases, up to a maximum of 40%.","Warrior of the Battlefield: Upon taking a lethal blow, survives with 1 HP, gains a shield equal to 50% of max HP for 2 turns, and gains an additional 100 Energy. Can trigger once per battle.","When HP is below 30%, ATK increases by 20% and damage taken is reduced by 20%.","Ancient Beast's Bone: Kaion gains a Shield for 1 turn equal to the excess healing from his Active Skill. Kaion enters Giant state for 4 turns when an allied hero dies. (Once per battle) While in Giant state, his Crit Rate increases by 30% and Crit Resistance increases by 50%, and when attacking enemies in the front row, he ignores 30% of their Physical Resistance.",
,54,Horde,Agi,Paru,Supporter,,414 673,138 351,1 267 776,80,10%,50%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,"Cakram: Targets all enemies in the closest row, dealing ATK 155% damage and applying a buff to self and allies in the same row that increases Crit Rate by 30% for 2 turns.","Diffusion of Energy: All allies in the same row, including yourself, can gain additional 30 Energy upon dealing a critical hit.","Sharpness: Active Skill attack removes 2 buff(s) from the target. When removing buffs, heal yourself by 20% max HP. (Once per round).","Fox's Instinct: Whenever the number of critical hits from all allies in the same row, including yourself, reaches 4, Paru gains a Damage Immunity Shield that lasts for 1 turn.","Wily Fox: Upon death, removes all shields from all enemies and applies a buff to all allies that increases their Crit Rate and Crit Damage by 38% for 2 turns. Can trigger once per battle.","Increases Crit Resistance by 40% and Crit DEF by 35% of allies in the same row, including self.",,
,55,Horde,Agi,Sol,Dealer,,455 401,130 335,1 368 384,76,10%,50%,0%,0%,10%,0%,15%,0%,0%,0%,10%,0%,"Rain of Fire: Targets all enemies, dealing ATK 81% and inflicting Burn, dealing ATK 48% DoT for 2 turns.","Destructive Arrow: On normal attacks, targets all enemies in the closest row, dealing ATK 98% damage.",Unyielding Perseverance: Heals by 50% of all damage dealt through Burn.,"Peerless Hunter: At the end of each round, if there 4 or more enemies inflicted by Burn, gains 30 Energy.","Raptor Guardian: At the start of every second round, inflicts Burn on 1 random enemy, dealing ATK 60% DoT for 3 turns.","Upon death, inflicts Burn to all enemies, dealing ATK 50% DoT for 2 turns.","Ignis: When Sol or an adjacent ally or Horde hero attacks a Burning enemy hero with an active skill or normal attack, there is a 60% chance to inflict Burn, dealing 48% of ATK as damage over time for 2 turn(s). (Excludes bosses) For each Burn effect on an enemy hero, their healing received is reduced by 20%. If the enemy has 3 or more Burns, their Physical Resistance is reduced by 30. (Excludes bosses, healing reduction capped at 80%)",
,56,Horde,Int,Naru,Healer,,406 243,132 045,1 414 132,56,10%,50%,0%,0%,10%,0%,0%,0%,0%,100%,0%,0%,"Beads of Healing: Targets the 2 allies with the lowest HP%, healing them by ATK 205%. If the target allies are under CC, releases them and increases their Energy by 50.","Beads of Spirit: On normal attacks, targets all enemies in closest row, dealing ATK 85% damage and healing the ally with the lowest HP% by 65% of the damage dealt.","Guardian of Balance: When an ally falls under CC, they are healed by 85% of Naru's ATK.","Nature's Vitality: When you critically heal with an active skill, apply a buff to the target that increases DEF by 30% for 2 turn(s).","Spirit of Harmony: Crit Rate increases by 13% for each ally Horde hero. Upon the death of an ally, Crit Rate increases by an additional 13%.","Increase Healing amount of Active Skill by 20%. Every time you heal an ally with Active Skill, the Healing received by that ally permanently increases by 10%.","Guardian's Staff: Naru gains 25 Energy when removing CC effects from an allied hero. (Once per round) Spirit of Harmony applies to all allied Horde heroes. For every 3 time(s) CC effects are applied to allies, Naru removes CC effects from all affected allies and grants them ATK +20% for 2 turns. (Does not trigger if CC is resisted.)",
